arrival_date_month,hotel,Taxa de Cancelamento (%)
January,City Hotel,27.985347985347985
January,Resort Hotel,13.958227203260314
February,City Hotel,27.045769764216367
February,Resort Hotel,17.64941837144003
March,City Hotel,28.10955518945634
March,Resort Hotel,17.500940910801656
April,City Hotel,34.44881889763779
April,Resort Hotel,23.302687411598303
May,City Hotel,32.25568076852023
May,Resort Hotel,23.657375934738273
June,City Hotel,30.38961038961039
June,Resort Hotel,30.181159420289855
July,City Hotel,33.043175487465184
July,Resort Hotel,30.14143287734755
August,City Hotel,32.01335153997876
August,Resort Hotel,32.426060865837975
September,City Hotel,25.16509433962264
September,Resort Hotel,23.46938775510204
October,City Hotel,26.782319391634978
October,Resort Hotel,18.892149669845928
November,City Hotel,25.356900067980963
November,Resort Hotel,15.002435460301996
December,City Hotel,32.51493032514931
December,Resort Hotel,18.80018894662258
